Feature,Mean_SHAP
entropy,0.10940212281432793
glcm_homogeneity,0.06967222940606999
glcm_ASM,0.03404186723201627
percentile_50,0.0331179817430458
glcm_energy,0.029211742055576004
glcm_dissimilarity,0.02447296324660175
percentile_90,0.016971539555042093
mean_intensity,0.015536887123259457
aspect_ratio,0.010074088169149781
eccentricity,0.009494382728622781
