Feature,Mean_SHAP
glcm_contrast,0.058099807264430314
solidity,0.05638733383698423
extent,0.05083545575084463
eccentricity,0.04943478585923537
glcm_correlation,0.03726141016455459
aspect_ratio,0.0365142751071289
kurtosis,0.027096143832478686
percentile_75,0.017268903416638882
area,0.016602090443593023
texture_contrast,0.015772934471828193
